,class,tweet
0,0,  I hate when faggots talk shit on here then block me so I can t respond  Bitch I will write you a letter with my response an       
1,1,  Dumb bitch 
2,1, lets record a song bitch right nowb
3,1,   I m a joke having hoes ain t shit  I m just looking for the first girl I loved when I m in these bitches  That s        
4,2,  It s not as easy as you d think to find an astronaut monkey outfit at the last minute 
5,1,  me n glo boy will get young chop in that bitch too
6,0, is a fag  hesgay
7,1,Is this retarded bitch really this stupid 
8,1,Like that bitch Ernest or somebody
9,1,Niggas sooooo pussy I swear I don t talk I m all action
10,1,his bitch love me long time i dont know why she wouldnt
11,1,do these bitches that tweet about taking adderall everyday think their hard or nah
12,1, get this nigguh of this streets
13,1,  Miami isn t a good city at all   don t believe the shit you see on TV that city is trash 
14,1,Dat bitch had noo cheeks 
15,1,  pregnant bitches get on the bus and think you suppose to give them your seat like bitch you should of fucked a nigga with        
16,1,         lmaooo nooo hoe       oh ok         
17,1,She just wanna run around the city and make memories that she can barely remember and I d allow her  talk about pussy power 
18,2,Someone probably told him   God was trash 
19,1,  hello  you are now official big time pussy
20,1,So my dumb ass screams fuck the redskins in this big ass echo filled parking garage
21,1, I am funny bitch
22,2,  redskins gonna win and thats all im saying for the night
23,2, ugh  and lemme guess they have yellow cake too  Heard this story before  
24,1,   get downstairs and play me im fifa bitch
25,1,Detroit Lions  bitch
26,1,  Bruh  Chichi go months to years without seeing me and she still the bae  You basic ass bitches can t go   missed calls with       
27,1,he lit bitch that s was talkin shit ain t in math class today           I really wanted to press my issue
28,2, yall defense too trash for that                            
29,1,  Time for the comeback pussies   kisstherings
30,1,Lmfaooooo RT  Can t trust a bitch that don t smile with her teeth 
31,1, speaking of little bitch you didn t even do all your squats you little bitch kept talking to distract everyone else                                                icu
32,2,  Who wants to get there nose in these bad bois then  scally  chav  sockfetish  stinking   hot sox and legs
33,1,hem shootas is out by my grandmoma house  I ain t been round this bitch in a MINUTE
34,1, talkin bout the retard your sittin on
35,1, grindin cuzz thats all shit dont stop wats good witcha thou bitch you been mia too
36,1,I m at home throwing up taking care of my kid  Yet I m a hoe  Oh  Oh okay 
37,0,Every spic cop should be killed  Those pigs only got their job to  get even  but white people never did anything to them 
38,2,Epic mickey time  Nahh   Two and a half men while i shiver  Tht sounds more like it 
39,2,I want a four loco right now so I can chug it and go straight to sleep 
40,1,Sounded like a god damn bear just fell out of my trees  Might be time to stop pissing outside and  piss bucket up in this bitch 
41,1,Mannnnnn these hoes aint loyal
42,1,  Can t trust a bitch who lets the microwave hit    she doesn t care about her life   she probably jumps on the lava part o       
43,1,  tf is a baby goal  bitch u gone have what you gone have  RT  Baby goals                                                        
44,1,Why would I fuck a bitch that can t fuck  Jus like u hoes don t want want a nigga wit a clit ticckler
45,0, fuck outta here and go put some more trash ass ink on your faggot ass self pussy
46,0,ypically hateful  anti Christian  mentally ill and ugly dyke trash pig couple Jennifer McCarthy and Melisa Erwin 
